AA123 	/	 Los Angeles 	/	08:00	/	 On Time 	/	 No gate
TK1313 	/	 Istanbul 	/	08:49	/	 On Time 	/	 No gate
AZ1414 	/	 Rome 	/	08:50	/	 On Time 	/	 No gate
CX1515 	/	 Hong Kong 	/	08:51	/	 On Time 	/	 No gate
JL1616 	/	 Tokyo 	/	08:52	/	 On Time 	/	 No gate
QR1717 	/	 Doha 	/	08:53	/	 On Time 	/	 No gate
EY1818 	/	 Abu Dhabi 	/	08:54	/	 On Time 	/	 No gate
KE1919 	/	 Seoul 	/	08:55	/	 On Time 	/	 No gate
AI2020 	/	 Delhi 	/	08:56	/	 On Time 	/	 No gate
TG2121 	/	 Bangkok 	/	08:57	/	 On Time 	/	 No gate
KL2222 	/	 Amsterdam 	/	08:58	/	 On Time 	/	 No gate
UA2323 	/	 Washington DC 	/	08:59	/	 On Time 	/	 No gate
DL2424 	/	 Miami 	/	09:00	/	 On Time 	/	 No gate
AA124	/	 Los Angeles 	/	09:01	/	 On Time 	/	 No gate
UA457	/	 New York 	/	09:02	/	 On Time 	/	 No gate
DL790	/	 Chicago 	/	09:03	/	 On Time 	/	 No gate
AC235	/	 Toronto 	/	09:04	/	 On Time 	/	 No gate
BA568	/	 London 	/	09:05	/	 On Time 	/	 No gate
LH891	/	 Frankfurt 	/	09:06	/	 On Time 	/	 No gate
AF124	/	 Paris 	/	09:07	/	 On Time 	/	 No gate
EK457	/	 Dubai 	/	09:08	/	 On Time 	/	 No gate
TK790	/	 Istanbul 	/	09:09	/	 On Time 	/	 No gate
AZ235	/	 Rome 	/	09:10	/	 On Time 	/	 No gate
CX568	/	 Hong Kong 	/	09:11	/	 On Time 	/	 No gate
JL891	/	 Tokyo 	/	09:12	/	 On Time 	/	 No gate
QR124	/	 Doha 	/	09:13	/	 On Time 	/	 No gate
EY457	/	 Abu Dhabi 	/	09:14	/	 On Time 	/	 No gate
KE790	/	 Seoul 	/	09:15	/	 On Time 	/	 No gate
AI235	/	 Delhi 	/	09:16	/	 On Time 	/	 No gate
TG568	/	 Bangkok 	/	09:17	/	 On Time 	/	 No gate
KL891	/	 Amsterdam 	/	09:18	/	 On Time 	/	 No gate
UA322	/	 Washington DC 	/	09:19	/	 On Time 	/	 No gate
DL655	/	 Miami 	/	09:20	/	 On Time 	/	 No gate
AC988	/	 Montreal 	/	09:21	/	 On Time 	/	 No gate
BA433	/	 Edinburgh 	/	09:22	/	 On Time 	/	 No gate
LH766	/	 Munich 	/	09:23	/	 On Time 	/	 No gate
AF891	/	 Lyon 	/	09:24	/	 On Time 	/	 No gate
EK322	/	 Abu Dhabi 	/	09:25	/	 On Time 	/	 No gate
TK655	/	 Antalya 	/	09:26	/	 On Time 	/	 No gate
AZ988	/	 Milan 	/	09:27	/	 On Time 	/	 No gate
CX433	/	 Taipei 	/	09:28	/	 On Time 	/	 No gate
JL766	/	 Osaka 	/	09:29	/	 On Time 	/	 No gate
QR891	/	 Dubai 	/	09:30	/	 On Time 	/	 No gate
EY322	/	 Muscat 	/	09:31	/	 On Time 	/	 No gate
KE655	/	 Jeju 	/	09:32	/	 On Time 	/	 No gate
AI988	/	 Mumbai 	/	09:33	/	 On Time 	/	 No gate
TG433	/	 Phuket 	/	09:34	/	 On Time 	/	 No gate
KL766	/	 Copenhagen 	/	09:35	/	 On Time 	/	 No gate
UA891	/	 Houston 	/	09:36	/	 On Time 	/	 No gate
DL322	/	 Las Vegas 	/	09:37	/	 On Time 	/	 No gate
AC655	/	 Vancouver 	/	09:38	/	 On Time 	/	 No gate
BA988	/	 Manchester 	/	09:39	/	 On Time 	/	 No gate
LH433	/	 Hamburg 	/	09:40	/	 On Time 	/	 No gate
AF766	/	 Marseille 	/	09:41	/	 On Time 	/	 No gate
UA556	/	 Houston 	/	09:42	/	 On Time 	/	 No gate
AA667	/	 Los Angeles 	/	09:43	/	 On Time 	/	 No gate
DL778	/	 New York 	/	09:44	/	 On Time 	/	 No gate
AC889	/	 Toronto 	/	09:45	/	 On Time 	/	 No gate
BA1000	/	 London 	/	09:46	/	 On Time 	/	 No gate
LH1011	/	 Frankfurt 	/	09:47	/	 On Time 	/	 No gate
AF1112	/	 Paris 	/	09:48	/	 On Time 	/	 No gate
EK1213	/	 Dubai 	/	09:49	/	 On Time 	/	 No gate
TK1314	/	 Istanbul 	/	09:50	/	 On Time 	/	 No gate
AZ1415	/	 Rome 	/	09:51	/	 On Time 	/	 No gate
CX1516	/	 Hong Kong 	/	09:52	/	 On Time 	/	 No gate
JL1617	/	 Tokyo 	/	09:53	/	 On Time 	/	 No gate
QR1718	/	 Doha 	/	09:54	/	 On Time 	/	 No gate
EY1819	/	 Abu Dhabi 	/	09:55	/	 On Time 	/	 No gate
KE1920	/	 Seoul 	/	09:56	/	 On Time 	/	 No gate
AI2021	/	 Delhi 	/	09:57	/	 On Time 	/	 No gate
TG2122	/	 Bangkok 	/	09:58	/	 On Time 	/	 No gate
KL2223	/	 Amsterdam 	/	09:59	/	 On Time 	/	 No gate
UA2324	/	 Washington DC 	/	10:00	/	 On Time 	/	 No gate
DL2425	/	 Miami 	/	10:01	/	 On Time 	/	 No gate
AA125	/	 Los Angeles 	/	10:02	/	 On Time 	/	 No gate
UA458	/	 New York 	/	10:03	/	 On Time 	/	 No gate
DL791	/	 Chicago 	/	10:04	/	 On Time 	/	 No gate
AC236	/	 Toronto 	/	10:05	/	 On Time 	/	 No gate
BA569	/	 London 	/	10:06	/	 On Time 	/	 No gate
LH892	/	 Frankfurt 	/	10:07	/	 On Time 	/	 No gate
AF125	/	 Paris 	/	10:08	/	 On Time 	/	 No gate
EK458	/	 Dubai 	/	10:09	/	 On Time 	/	 No gate
TK791	/	 Istanbul 	/	10:10	/	 On Time 	/	 No gate
AZ236	/	 Rome 	/	10:11	/	 On Time 	/	 No gate
CX569	/	 Hong Kong 	/	10:12	/	 On Time 	/	 No gate
JL892	/	 Tokyo 	/	10:13	/	 On Time 	/	 No gate
QR125	/	 Doha 	/	10:14	/	 On Time 	/	 No gate
EY458	/	 Abu Dhabi 	/	10:15	/	 On Time 	/	 No gate
KE791	/	 Seoul 	/	10:16	/	 On Time 	/	 No gate
AI236	/	 Delhi 	/	10:17	/	 On Time 	/	 No gate
TG569	/	 Bangkok 	/	10:18	/	 On Time 	/	 No gate
KL892	/	 Amsterdam 	/	10:19	/	 On Time 	/	 No gate
UA323	/	 Washington DC 	/	10:20	/	 On Time 	/	 No gate
DL656	/	 Miami 	/	10:21	/	 On Time 	/	 No gate
AC989	/	 Montreal 	/	10:22	/	 On Time 	/	 No gate
BA434	/	 Edinburgh 	/	10:23	/	 On Time 	/	 No gate
LH767	/	 Munich 	/	10:24	/	 On Time 	/	 No gate
AF892	/	 Lyon 	/	10:25	/	 On Time 	/	 No gate
EK323	/	 Abu Dhabi 	/	10:26	/	 On Time 	/	 No gate
TK656	/	 Antalya 	/	10:27	/	 On Time 	/	 No gate
AZ989	/	 Milan 	/	10:28	/	 On Time 	/	 No gate
CX434	/	 Taipei 	/	10:29	/	 On Time 	/	 No gate
JL767	/	 Osaka 	/	10:30	/	 On Time 	/	 No gate
QR892	/	 Dubai 	/	10:31	/	 On Time 	/	 No gate
EY323	/	 Muscat 	/	10:32	/	 On Time 	/	 No gate
KE656	/	 Jeju 	/	10:33	/	 On Time 	/	 No gate
AI989	/	 Mumbai 	/	10:34	/	 On Time 	/	 No gate
TG434	/	 Phuket 	/	10:35	/	 On Time 	/	 No gate
KL767	/	 Copenhagen 	/	10:36	/	 On Time 	/	 No gate
UA892	/	 Houston 	/	10:37	/	 On Time 	/	 No gate
DL323	/	 Las Vegas 	/	10:38	/	 On Time 	/	 No gate
AC656	/	 Vancouver 	/	10:39	/	 On Time 	/	 No gate
BA989	/	 Manchester 	/	10:40	/	 On Time 	/	 No gate
LH434	/	 Hamburg 	/	10:41	/	 On Time 	/	 No gate
AF767	/	 Marseille 	/	10:42	/	 On Time 	/	 No gate
UA557	/	 Houston 	/	10:43	/	 On Time 	/	 No gate
AA668	/	 Los Angeles 	/	10:44	/	 On Time 	/	 No gate
DL779	/	 New York 	/	10:45	/	 On Time 	/	 No gate
AC890	/	 Toronto 	/	10:46	/	 On Time 	/	 No gate
BA1001	/	 London 	/	10:47	/	 On Time 	/	 No gate
LH1012	/	 Frankfurt 	/	10:48	/	 On Time 	/	 No gate
AF1113	/	 Paris 	/	10:49	/	 On Time 	/	 No gate
EK1214	/	 Dubai 	/	10:50	/	 On Time 	/	 No gate
TK1315	/	 Istanbul 	/	10:51	/	 On Time 	/	 No gate
AZ1416	/	 Rome 	/	10:52	/	 On Time 	/	 No gate
CX1517	/	 Hong Kong 	/	10:53	/	 On Time 	/	 No gate
JL1618	/	 Tokyo 	/	10:54	/	 On Time 	/	 No gate
QR1719	/	 Doha 	/	10:55	/	 On Time 	/	 No gate
EY1820	/	 Abu Dhabi 	/	10:56	/	 On Time 	/	 No gate
KE1921	/	 Seoul 	/	10:57	/	 On Time 	/	 No gate
AI2022	/	 Delhi 	/	10:58	/	 On Time 	/	 No gate
TG2123	/	 Bangkok 	/	10:59	/	 On Time 	/	 No gate
KL2224	/	 Amsterdam 	/	11:00	/	 On Time 	/	 No gate
UA2325	/	 Washington DC 	/	11:01	/	 On Time 	/	 No gate
DL2426	/	 Miami 	/	11:02	/	 On Time 	/	 No gate
AA126	/	 Los Angeles 	/	11:03	/	 On Time 	/	 No gate
UA459	/	 New York 	/	11:04	/	 On Time 	/	 No gate
DL792	/	 Chicago 	/	11:05	/	 On Time 	/	 No gate
AC237	/	 Toronto 	/	11:06	/	 On Time 	/	 No gate
BA570	/	 London 	/	11:07	/	 On Time 	/	 No gate
LH893	/	 Frankfurt 	/	11:08	/	 On Time 	/	 No gate
AF126	/	 Paris 	/	11:09	/	 On Time 	/	 No gate
EK459	/	 Dubai 	/	11:10	/	 On Time 	/	 No gate
TK792	/	 Istanbul 	/	11:11	/	 On Time 	/	 No gate
AZ237	/	 Rome 	/	11:12	/	 On Time 	/	 No gate
CX570	/	 Hong Kong 	/	11:13	/	 On Time 	/	 No gate
JL893	/	 Tokyo 	/	11:14	/	 On Time 	/	 No gate
QR126	/	 Doha 	/	11:15	/	 On Time 	/	 No gate
EY459	/	 Abu Dhabi 	/	11:16	/	 On Time 	/	 No gate
KE792	/	 Seoul 	/	11:17	/	 On Time 	/	 No gate
AI237	/	 Delhi 	/	11:18	/	 On Time 	/	 No gate
TG570	/	 Bangkok 	/	11:19	/	 On Time 	/	 No gate
KL893	/	 Amsterdam 	/	11:20	/	 On Time 	/	 No gate
UA324	/	 Washington DC 	/	11:21	/	 On Time 	/	 No gate
DL657	/	 Miami 	/	11:22	/	 On Time 	/	 No gate
AC990	/	 Montreal 	/	11:23	/	 On Time 	/	 No gate
BA435	/	 Edinburgh 	/	11:24	/	 On Time 	/	 No gate
LH768	/	 Munich 	/	11:25	/	 On Time 	/	 No gate
AF893	/	 Lyon 	/	11:26	/	 On Time 	/	 No gate
EK324	/	 Abu Dhabi 	/	11:27	/	 On Time 	/	 No gate
TK657	/	 Antalya 	/	11:28	/	 On Time 	/	 No gate
AZ990	/	 Milan 	/	11:29	/	 On Time 	/	 No gate
CX435	/	 Taipei 	/	11:30	/	 On Time 	/	 No gate
JL768	/	 Osaka 	/	11:31	/	 On Time 	/	 No gate
QR893	/	 Dubai 	/	11:32	/	 On Time 	/	 No gate
EY324	/	 Muscat 	/	11:33	/	 On Time 	/	 No gate
KE657	/	 Jeju 	/	11:34	/	 On Time 	/	 No gate
AI990	/	 Mumbai 	/	11:35	/	 On Time 	/	 No gate
TG435	/	 Phuket 	/	11:36	/	 On Time 	/	 No gate
KL768	/	 Copenhagen 	/	11:37	/	 On Time 	/	 No gate
UA893	/	 Houston 	/	11:38	/	 On Time 	/	 No gate
DL324	/	 Las Vegas 	/	11:39	/	 On Time 	/	 No gate
AC657	/	 Vancouver 	/	11:40	/	 On Time 	/	 No gate
BA990	/	 Manchester 	/	11:41	/	 On Time 	/	 No gate
LH435	/	 Hamburg 	/	11:42	/	 On Time 	/	 No gate
AF768	/	 Marseille 	/	11:43	/	 On Time 	/	 No gate
UA558	/	 Houston 	/	11:44	/	 On Time 	/	 No gate
AA669	/	 Los Angeles 	/	11:45	/	 On Time 	/	 No gate
DL780	/	 New York 	/	11:46	/	 On Time 	/	 No gate
AC891	/	 Toronto 	/	11:47	/	 On Time 	/	 No gate
BA1002	/	 London 	/	11:48	/	 On Time 	/	 No gate
LH1013	/	 Frankfurt 	/	11:49	/	 On Time 	/	 No gate
AF1114	/	 Paris 	/	11:50	/	 On Time 	/	 No gate
EK1215	/	 Dubai 	/	11:51	/	 On Time 	/	 No gate
TK1316	/	 Istanbul 	/	11:52	/	 On Time 	/	 No gate
AZ1417	/	 Rome 	/	11:53	/	 On Time 	/	 No gate
CX1518	/	 Hong Kong 	/	11:54	/	 On Time 	/	 No gate
JL1619	/	 Tokyo 	/	11:55	/	 On Time 	/	 No gate
QR1720	/	 Doha 	/	11:56	/	 On Time 	/	 No gate
EY1821	/	 Abu Dhabi 	/	11:57	/	 On Time 	/	 No gate
KE1922	/	 Seoul 	/	11:58	/	 On Time 	/	 No gate
AI2023	/	 Delhi 	/	11:59	/	 On Time 	/	 No gate
TG2124	/	 Bangkok 	/	12:00	/	 On Time 	/	 No gate
KL2225	/	 Amsterdam 	/	12:01	/	 On Time 	/	 No gate
UA2326	/	 Washington DC 	/	12:02	/	 On Time 	/	 No gate
DL2427	/	 Miami 	/	12:03	/	 On Time 	/	 No gate
AA127	/	 Los Angeles 	/	12:04	/	 On Time 	/	 No gate
UA460	/	 New York 	/	12:05	/	 On Time 	/	 No gate
DL793	/	 Chicago 	/	12:06	/	 On Time 	/	 No gate
AC238	/	 Toronto 	/	12:07	/	 On Time 	/	 No gate
BA571	/	 London 	/	12:08	/	 On Time 	/	 No gate
LH894	/	 Frankfurt 	/	12:09	/	 On Time 	/	 No gate
AF127	/	 Paris 	/	12:10	/	 On Time 	/	 No gate
EK460	/	 Dubai 	/	12:11	/	 On Time 	/	 No gate
TK793	/	 Istanbul 	/	12:12	/	 On Time 	/	 No gate
AZ238	/	 Rome 	/	12:13	/	 On Time 	/	 No gate
CX571	/	 Hong Kong 	/	12:14	/	 On Time 	/	 No gate
JL894	/	 Tokyo 	/	12:15	/	 On Time 	/	 No gate
QR127	/	 Doha 	/	12:16	/	 On Time 	/	 No gate
EY460	/	 Abu Dhabi 	/	12:17	/	 On Time 	/	 No gate
KE793	/	 Seoul 	/	12:18	/	 On Time 	/	 No gate
AI238	/	 Delhi 	/	12:19	/	 On Time 	/	 No gate
TG571	/	 Bangkok 	/	12:20	/	 On Time 	/	 No gate
KL894	/	 Amsterdam 	/	12:21	/	 On Time 	/	 No gate
UA325	/	 Washington DC 	/	12:22	/	 On Time 	/	 No gate
DL658	/	 Miami 	/	12:23	/	 On Time 	/	 No gate
AC991	/	 Montreal 	/	12:24	/	 On Time 	/	 No gate
BA436	/	 Edinburgh 	/	12:25	/	 On Time 	/	 No gate
LH769	/	 Munich 	/	12:26	/	 On Time 	/	 No gate
AF894	/	 Lyon 	/	12:27	/	 On Time 	/	 No gate
EK325	/	 Abu Dhabi 	/	12:28	/	 On Time 	/	 No gate
TK658	/	 Antalya 	/	12:29	/	 On Time 	/	 No gate
AZ991	/	 Milan 	/	12:30	/	 On Time 	/	 No gate
CX436	/	 Taipei 	/	12:31	/	 On Time 	/	 No gate
JL769	/	 Osaka 	/	12:32	/	 On Time 	/	 No gate
QR894	/	 Dubai 	/	12:33	/	 On Time 	/	 No gate
EY325	/	 Muscat 	/	12:34	/	 On Time 	/	 No gate
KE658	/	 Jeju 	/	12:35	/	 On Time 	/	 No gate
AI991	/	 Mumbai 	/	12:36	/	 On Time 	/	 No gate
TG436	/	 Phuket 	/	12:37	/	 On Time 	/	 No gate
KL769	/	 Copenhagen 	/	12:38	/	 On Time 	/	 No gate
UA894	/	 Houston 	/	12:39	/	 On Time 	/	 No gate
DL325	/	 Las Vegas 	/	12:40	/	 On Time 	/	 No gate
AC658	/	 Vancouver 	/	12:41	/	 On Time 	/	 No gate
BA991	/	 Manchester 	/	12:42	/	 On Time 	/	 No gate
LH436	/	 Hamburg 	/	12:43	/	 On Time 	/	 No gate
AF769	/	 Marseille 	/	12:44	/	 On Time 	/	 No gate
UA559	/	 Houston 	/	12:45	/	 On Time 	/	 No gate
AA670	/	 Los Angeles 	/	12:46	/	 On Time 	/	 No gate
DL781	/	 New York 	/	12:47	/	 On Time 	/	 No gate
AC892	/	 Toronto 	/	12:48	/	 On Time 	/	 No gate
BA1003	/	 London 	/	12:49	/	 On Time 	/	 No gate
LH1014	/	 Frankfurt 	/	12:50	/	 On Time 	/	 No gate
AF1115	/	 Paris 	/	12:51	/	 On Time 	/	 No gate
EK1216	/	 Dubai 	/	12:52	/	 On Time 	/	 No gate
TK1317	/	 Istanbul 	/	12:53	/	 On Time 	/	 No gate
AZ1418	/	 Rome 	/	12:54	/	 On Time 	/	 No gate
CX1519	/	 Hong Kong 	/	12:55	/	 On Time 	/	 No gate
JL1620	/	 Tokyo 	/	12:56	/	 On Time 	/	 No gate
QR1721	/	 Doha 	/	12:57	/	 On Time 	/	 No gate
EY1822	/	 Abu Dhabi 	/	12:58	/	 On Time 	/	 No gate
KE1923	/	 Seoul 	/	12:59	/	 On Time 	/	 No gate
AI2024	/	 Delhi 	/	13:00	/	 On Time 	/	 No gate
TG2125	/	 Bangkok 	/	13:01	/	 On Time 	/	 No gate
KL2226	/	 Amsterdam 	/	13:02	/	 On Time 	/	 No gate
UA2327	/	 Washington DC 	/	13:03	/	 On Time 	/	 No gate
DL2428	/	 Miami 	/	13:04	/	 On Time 	/	 No gate
AA128	/	 Los Angeles 	/	13:05	/	 On Time 	/	 No gate
UA461	/	 New York 	/	13:06	/	 On Time 	/	 No gate
DL794	/	 Chicago 	/	13:07	/	 On Time 	/	 No gate
AC239	/	 Toronto 	/	13:08	/	 On Time 	/	 No gate
BA572	/	 London 	/	13:09	/	 On Time 	/	 No gate
LH895	/	 Frankfurt 	/	13:10	/	 On Time 	/	 No gate
AF128	/	 Paris 	/	13:11	/	 On Time 	/	 No gate
EK461	/	 Dubai 	/	13:12	/	 On Time 	/	 No gate
TK794	/	 Istanbul 	/	13:13	/	 On Time 	/	 No gate
AZ239	/	 Rome 	/	13:14	/	 On Time 	/	 No gate
CX572	/	 Hong Kong 	/	13:15	/	 On Time 	/	 No gate
JL895	/	 Tokyo 	/	13:16	/	 On Time 	/	 No gate
QR128	/	 Doha 	/	13:17	/	 On Time 	/	 No gate
EY461	/	 Abu Dhabi 	/	13:18	/	 On Time 	/	 No gate
KE794	/	 Seoul 	/	13:19	/	 On Time 	/	 No gate
AI239	/	 Delhi 	/	13:20	/	 On Time 	/	 No gate
TG572	/	 Bangkok 	/	13:21	/	 On Time 	/	 No gate
KL895	/	 Amsterdam 	/	13:22	/	 On Time 	/	 No gate
UA326	/	 Washington DC 	/	13:23	/	 On Time 	/	 No gate
DL659	/	 Miami 	/	13:24	/	 On Time 	/	 No gate
AC992	/	 Montreal 	/	13:25	/	 On Time 	/	 No gate
BA437	/	 Edinburgh 	/	13:26	/	 On Time 	/	 No gate
LH770	/	 Munich 	/	13:27	/	 On Time 	/	 No gate
AF895	/	 Lyon 	/	13:28	/	 On Time 	/	 No gate
EK326	/	 Abu Dhabi 	/	13:29	/	 On Time 	/	 No gate
TK659	/	 Antalya 	/	13:30	/	 On Time 	/	 No gate
AZ992	/	 Milan 	/	13:31	/	 On Time 	/	 No gate
CX437	/	 Taipei 	/	13:32	/	 On Time 	/	 No gate
JL770	/	 Osaka 	/	13:33	/	 On Time 	/	 No gate
QR895	/	 Dubai 	/	13:34	/	 On Time 	/	 No gate
EY326	/	 Muscat 	/	13:35	/	 On Time 	/	 No gate
KE659	/	 Jeju 	/	13:36	/	 On Time 	/	 No gate
AI992	/	 Mumbai 	/	13:37	/	 On Time 	/	 No gate
TG437	/	 Phuket 	/	13:38	/	 On Time 	/	 No gate
KL770	/	 Copenhagen 	/	13:39	/	 On Time 	/	 No gate
UA895	/	 Houston 	/	13:40	/	 On Time 	/	 No gate
DL326	/	 Las Vegas 	/	13:41	/	 On Time 	/	 No gate
AC659	/	 Vancouver 	/	13:42	/	 On Time 	/	 No gate
BA992	/	 Manchester 	/	13:43	/	 On Time 	/	 No gate
LH437	/	 Hamburg 	/	13:44	/	 On Time 	/	 No gate
AF770	/	 Marseille 	/	13:45	/	 On Time 	/	 No gate
UA560	/	 Houston 	/	13:46	/	 On Time 	/	 No gate
AA671	/	 Los Angeles 	/	13:47	/	 On Time 	/	 No gate
DL782	/	 New York 	/	13:48	/	 On Time 	/	 No gate
AC893	/	 Toronto 	/	13:49	/	 On Time 	/	 No gate
BA1004	/	 London 	/	13:50	/	 On Time 	/	 No gate
LH1015	/	 Frankfurt 	/	13:51	/	 On Time 	/	 No gate
AF1116	/	 Paris 	/	13:52	/	 On Time 	/	 No gate
EK1217	/	 Dubai 	/	13:53	/	 On Time 	/	 No gate
TK1318	/	 Istanbul 	/	13:54	/	 On Time 	/	 No gate
AZ1419	/	 Rome 	/	13:55	/	 On Time 	/	 No gate
CX1520	/	 Hong Kong 	/	13:56	/	 On Time 	/	 No gate
JL1621	/	 Tokyo 	/	13:57	/	 On Time 	/	 No gate
QR1722	/	 Doha 	/	13:58	/	 On Time 	/	 No gate
EY1823	/	 Abu Dhabi 	/	13:59	/	 On Time 	/	 No gate
KE1924	/	 Seoul 	/	14:00	/	 On Time 	/	 No gate
AI2025	/	 Delhi 	/	14:01	/	 On Time 	/	 No gate
TG2126	/	 Bangkok 	/	14:02	/	 On Time 	/	 No gate
KL2227	/	 Amsterdam 	/	14:03	/	 On Time 	/	 No gate
UA2328	/	 Washington DC 	/	14:04	/	 On Time 	/	 No gate
DL2429	/	 Miami 	/	14:05	/	 On Time 	/	 No gate
AA129	/	 Los Angeles 	/	14:06	/	 On Time 	/	 No gate
UA462	/	 New York 	/	14:07	/	 On Time 	/	 No gate
DL795	/	 Chicago 	/	14:08	/	 On Time 	/	 No gate
AC240	/	 Toronto 	/	14:09	/	 On Time 	/	 No gate
BA573	/	 London 	/	14:10	/	 On Time 	/	 No gate
LH896	/	 Frankfurt 	/	14:11	/	 On Time 	/	 No gate
AF129	/	 Paris 	/	14:12	/	 On Time 	/	 No gate
EK462	/	 Dubai 	/	14:13	/	 On Time 	/	 No gate
TK795	/	 Istanbul 	/	14:14	/	 On Time 	/	 No gate
AZ240	/	 Rome 	/	14:15	/	 On Time 	/	 No gate
CX573	/	 Hong Kong 	/	14:16	/	 On Time 	/	 No gate
JL896	/	 Tokyo 	/	14:17	/	 On Time 	/	 No gate
QR129	/	 Doha 	/	14:18	/	 On Time 	/	 No gate
EY462	/	 Abu Dhabi 	/	14:19	/	 On Time 	/	 No gate
KE795	/	 Seoul 	/	14:20	/	 On Time 	/	 No gate
AI240	/	 Delhi 	/	14:21	/	 On Time 	/	 No gate
TG573	/	 Bangkok 	/	14:22	/	 On Time 	/	 No gate
KL896	/	 Amsterdam 	/	14:23	/	 On Time 	/	 No gate
UA327	/	 Washington DC 	/	14:24	/	 On Time 	/	 No gate
DL660	/	 Miami 	/	14:25	/	 On Time 	/	 No gate
AC993	/	 Montreal 	/	14:26	/	 On Time 	/	 No gate
BA438	/	 Edinburgh 	/	14:27	/	 On Time 	/	 No gate
LH771	/	 Munich 	/	14:28	/	 On Time 	/	 No gate
AF896	/	 Lyon 	/	14:29	/	 On Time 	/	 No gate
EK327	/	 Abu Dhabi 	/	14:30	/	 On Time 	/	 No gate
TK660	/	 Antalya 	/	14:31	/	 On Time 	/	 No gate
AZ993	/	 Milan 	/	14:32	/	 On Time 	/	 No gate
CX438	/	 Taipei 	/	14:33	/	 On Time 	/	 No gate
JL771	/	 Osaka 	/	14:34	/	 On Time 	/	 No gate
QR896	/	 Dubai 	/	14:35	/	 On Time 	/	 No gate
EY327	/	 Muscat 	/	14:36	/	 On Time 	/	 No gate
KE660	/	 Jeju 	/	14:37	/	 On Time 	/	 No gate
AI993	/	 Mumbai 	/	14:38	/	 On Time 	/	 No gate
TG438	/	 Phuket 	/	14:39	/	 On Time 	/	 No gate
KL771	/	 Copenhagen 	/	14:40	/	 On Time 	/	 No gate
